Id,origin_lat,origin_lon,des_lat,des_lon
1,1.277637,103.808586,1.279144,103.81687
2,1.454645,103.81584,1.449262,103.81979
3,1.305721,103.851204,1.316632,103.85025
4,1.360499,103.885169,1.391254,103.89537
5,1.376561,103.77146,1.379617,103.76391
6,1.34484,103.70308,1.339323,103.70546
7,1.347387,103.93815,1.354076,103.94339
8,1.364098,103.892136,1.366238,103.89129
9,1.342,103.69132,1.34194,103.68853
10,1.455756,103.818,1.450206,103.81615
11,1.320557,103.76735,1.314916,103.76412
12,1.315302,103.765244,1.302559,103.798225
13,1.39385,103.89167,1.391029,103.89999
14,1.279474,103.81733,1.277637,103.808586
15,1.376561,103.77146,1.366459,103.77559
16,1.315302,103.765244,1.397567,103.747339
17,1.330048,103.93444,1.326577,103.94039
18,1.38007,103.76396,1.3763,103.770996
19,1.450502,103.81656,1.456108,103.8181
20,1.365743,103.775314,1.3763,103.770996
21,1.331858,103.93513,1.326577,103.94039
22,1.342027,103.68898,1.346808,103.697815
23,1.346637,103.697784,1.342,103.69132
24,1.350812,103.71794,1.339483,103.73424
25,1.392339,103.896065,1.39385,103.89167
26,1.326631,103.94017,1.3316,103.93531
