location_id,location_name,latitude,longitude,name,AreaName,RegionName
1,Yio Chu Kang,1.381765,103.844923,kml_19,ANG MO KIO,NORTH-EAST REGION
2,Ang Mo Kio,1.370025,103.849588,kml_19,ANG MO KIO,NORTH-EAST REGION
3,Bishan,1.35092,103.848206,kml_21,BISHAN,CENTRAL REGION
4,Braddell,1.34055,103.847098,kml_35,TOA PAYOH,CENTRAL REGION
5,Toa Payoh,1.332405,103.847436,kml_35,TOA PAYOH,CENTRAL REGION
6,Novena,1.320089,103.843405,kml_15,NOVENA,CENTRAL REGION
7,Newton,1.31383,103.838021,kml_41,NEWTON,CENTRAL REGION
8,Orchard,1.304041,103.831792,kml_42,ORCHARD,CENTRAL REGION
9,Somerset,1.300508,103.838428,kml_42,ORCHARD,CENTRAL REGION
10,Dhoby Ghaut,1.299169,103.845799,kml_40,MUSEUM,CENTRAL REGION
11,City Hall,1.293119,103.852089,kml_37,DOWNTOWN CORE,CENTRAL REGION
12,Raffles Place,1.284001,103.85155,kml_37,DOWNTOWN CORE,CENTRAL REGION
13,Marina Bay,1.276481,103.854598,kml_37,DOWNTOWN CORE,CENTRAL REGION
14,Tanjong Pagar,1.276385,103.846771,kml_37,DOWNTOWN CORE,CENTRAL REGION
15,Outram Park,1.280319,103.839459,kml_43,OUTRAM,CENTRAL REGION
16,Tiong Bahru,1.286555,103.826956,kml_1,BUKIT MERAH,CENTRAL REGION
17,Redhill,1.289674,103.816787,kml_1,BUKIT MERAH,CENTRAL REGION
18,Queenstown,1.294867,103.805902,kml_24,QUEENSTOWN,CENTRAL REGION
19,Commonwealth,1.302439,103.798326,kml_24,QUEENSTOWN,CENTRAL REGION
20,Buona Vista,1.307337,103.790046,kml_24,QUEENSTOWN,CENTRAL REGION
21,Clementi,1.314925,103.765341,kml_7,CLEMENTI,WEST REGION
22,Yishun,1.429666,103.835044,kml_55,YISHUN,NORTH REGION
23,Khatib,1.417423,103.832995,kml_55,YISHUN,NORTH REGION
24,Jurong East,1.333207,103.742308,kml_9,JURONG EAST,WEST REGION
25,Chinese Garden,1.342436,103.732582,kml_9,JURONG EAST,WEST REGION
26,Lakeside,1.344264,103.720797,kml_10,JURONG WEST,WEST REGION
27,Boon Lay,1.33862,103.705817,kml_10,JURONG WEST,WEST REGION
28,Bukit Batok,1.349069,103.749596,kml_23,BUKIT BATOK,WEST REGION
29,Bukit Gombak,1.359043,103.751863,kml_23,BUKIT BATOK,WEST REGION
30,Choa Chu Kang,1.385417,103.744316,kml_6,CHOA CHU KANG,WEST REGION
31,Bugis,1.300747,103.855873,kml_37,DOWNTOWN CORE,CENTRAL REGION
32,Lavender,1.307577,103.863155,kml_11,KALLANG,CENTRAL REGION
33,Kallang,1.311532,103.871372,kml_11,KALLANG,CENTRAL REGION
34,Aljunied,1.316474,103.882762,kml_50,GEYLANG,CENTRAL REGION
35,Paya Lebar,1.318214,103.893133,kml_50,GEYLANG,CENTRAL REGION
36,Eunos,1.319809,103.902888,kml_50,GEYLANG,CENTRAL REGION
37,Kembangan,1.320998,103.913433,kml_20,BEDOK,EAST REGION
38,Bedok,1.324043,103.930205,kml_20,BEDOK,EAST REGION
39,Tanah Merah,1.327309,103.946479,kml_20,BEDOK,EAST REGION
40,Simei,1.343237,103.953343,kml_32,TAMPINES,EAST REGION
41,Tampines,1.354467,103.943325,kml_32,TAMPINES,EAST REGION
42,Pasir Ris,1.373234,103.949343,kml_16,PASIR RIS,EAST REGION
43,Sembawang,1.449133,103.82006,kml_26,SEMBAWANG,NORTH REGION
44,Admiralty,1.436984,103.786406,kml_54,WOODLANDS,NORTH REGION
45,Woodlands,1.436984,103.786406,kml_54,WOODLANDS,NORTH REGION
46,Marsiling,1.432579,103.77415,kml_54,WOODLANDS,NORTH REGION
47,Kranji,1.425302,103.762049,kml_31,SUNGEI KADUT,NORTH REGION
48,Yew Tee,1.397383,103.747523,kml_6,CHOA CHU KANG,WEST REGION
49,Choa Chu Kang,1.385417,103.744316,kml_6,CHOA CHU KANG,WEST REGION
50,South View,1.380299,103.745286,kml_6,CHOA CHU KANG,WEST REGION
51,Keat Hong,1.378604,103.749058,kml_6,CHOA CHU KANG,WEST REGION
52,Teck Whye,1.376738,103.753665,kml_6,CHOA CHU KANG,WEST REGION
53,Phoenix,1.378798,103.758021,kml_6,CHOA CHU KANG,WEST REGION
54,Bukit Panjang,1.37834,103.762452,kml_2,BUKIT PANJANG,WEST REGION
55,Petir,1.377828,103.76655,kml_2,BUKIT PANJANG,WEST REGION
56,Pending,1.376223,103.771277,kml_2,BUKIT PANJANG,WEST REGION
57,Bangkit,1.380281,103.772576,kml_2,BUKIT PANJANG,WEST REGION
58,Fajar,1.384502,103.770862,kml_2,BUKIT PANJANG,WEST REGION
59,Segar,1.387713,103.769599,kml_2,BUKIT PANJANG,WEST REGION
60,Jelapang,1.386703,103.764547,kml_2,BUKIT PANJANG,WEST REGION
61,Senja,1.382852,103.762312,kml_2,BUKIT PANJANG,WEST REGION
62,Ten Mile Junction,1.3799563,103.7579365,kml_6,CHOA CHU KANG,WEST REGION
63,Expo,1.334479,103.961459,kml_32,TAMPINES,EAST REGION
64,Dover,1.311414,103.778596,kml_24,QUEENSTOWN,CENTRAL REGION
65,Changi Airport,1.357622,103.988487,kml_5,CHANGI,EAST REGION
66,Pioneer,1.337645,103.69742,kml_10,JURONG WEST,WEST REGION
67,Joo Koon,1.327826,103.678318,kml_17,PIONEER,WEST REGION
101,Punggol,1.405191,103.902367,kml_18,PUNGGOL,NORTH-EAST REGION
102,Sengkang,1.391682,103.895475,kml_27,SENGKANG,NORTH-EAST REGION
103,Buangkok,1.382991,103.893347,kml_27,SENGKANG,NORTH-EAST REGION
104,Hougang,1.371406,103.892533,kml_8,HOUGANG,NORTH-EAST REGION
105,Kovan,1.360207,103.885163,kml_8,HOUGANG,NORTH-EAST REGION
106,Serangoon,1.349862,103.873635,kml_28,SERANGOON,NORTH-EAST REGION
107,Woodleigh,1.339202,103.870727,kml_35,TOA PAYOH,CENTRAL REGION
108,Potong Pasir,1.331316,103.868779,kml_35,TOA PAYOH,CENTRAL REGION
109,Boon Keng,1.320091,103.861655,kml_11,KALLANG,CENTRAL REGION
110,Farrer Park,1.312679,103.854872,kml_11,KALLANG,CENTRAL REGION
111,Little India,1.306691,103.849396,kml_45,ROCHOR,CENTRAL REGION
112,Dhoby Ghaut,1.299169,103.845799,kml_40,MUSEUM,CENTRAL REGION
113,Clarke Quay,1.288949,103.847521,kml_46,SINGAPORE RIVER,CENTRAL REGION
114,Chinatown,1.284566,103.843626,kml_43,OUTRAM,CENTRAL REGION
115,Outram Park,1.280319,103.839459,kml_43,OUTRAM,CENTRAL REGION
116,Harbour Front,1.265453,103.820514,kml_1,BUKIT MERAH,CENTRAL REGION
117,Compassvale,1.394615,103.900443,kml_27,SENGKANG,NORTH-EAST REGION
118,Rumbia,1.391553,103.905947,kml_27,SENGKANG,NORTH-EAST REGION
119,Bakau,1.38804,103.905412,kml_27,SENGKANG,NORTH-EAST REGION
120,Kangkar,1.383957,103.90216,kml_27,SENGKANG,NORTH-EAST REGION
121,Ranggung,1.384116,103.897386,kml_27,SENGKANG,NORTH-EAST REGION
122,Cheng Lim,1.396332,103.89379,kml_27,SENGKANG,NORTH-EAST REGION
123,Farmway,1.397178,103.889168,kml_27,SENGKANG,NORTH-EAST REGION
124,Kupang,1.398271,103.881283,kml_27,SENGKANG,NORTH-EAST REGION
125,Thanggam,1.397378,103.87561,kml_27,SENGKANG,NORTH-EAST REGION
126,Fernvale,1.392033,103.876256,kml_27,SENGKANG,NORTH-EAST REGION
127,Layar,1.392141,103.880022,kml_27,SENGKANG,NORTH-EAST REGION
128,Tongkang,1.389519,103.885829,kml_27,SENGKANG,NORTH-EAST REGION
129,Renjong,1.386827,103.890541,kml_27,SENGKANG,NORTH-EAST REGION
130,Cove,1.399534,103.905792,kml_18,PUNGGOL,NORTH-EAST REGION
131,Meridian,1.397002,103.908884,kml_18,PUNGGOL,NORTH-EAST REGION
132,Coral Edge,1.39392,103.912633,kml_18,PUNGGOL,NORTH-EAST REGION
133,Riviera,1.39454,103.916056,kml_18,PUNGGOL,NORTH-EAST REGION
134,Kadaloor,1.399633,103.916536,kml_18,PUNGGOL,NORTH-EAST REGION
135,Oasis,1.402304,103.912736,kml_18,PUNGGOL,NORTH-EAST REGION
136,Damai,1.405293,103.908606,kml_18,PUNGGOL,NORTH-EAST REGION
137,Sam Kee,1.409808,103.90492,kml_18,PUNGGOL,NORTH-EAST REGION
138,Teck Lee,1.412783,103.906565,kml_18,PUNGGOL,NORTH-EAST REGION
139,Punggol Point,1.416932,103.90668,kml_18,PUNGGOL,NORTH-EAST REGION
140,Samudera,1.415955,103.902185,kml_18,PUNGGOL,NORTH-EAST REGION
141,Nibong,1.411865,103.900321,kml_18,PUNGGOL,NORTH-EAST REGION
142,Sumang,1.408501,103.898605,kml_18,PUNGGOL,NORTH-EAST REGION
143,Soo Teck,1.405436,103.897287,kml_18,PUNGGOL,NORTH-EAST REGION
201,Bartley,1.342923,103.87966,kml_28,SERANGOON,NORTH-EAST REGION
202,Serangoon,1.349862,103.873635,kml_28,SERANGOON,NORTH-EAST REGION
203,Lorong Chuan,1.35153,103.864957,kml_28,SERANGOON,NORTH-EAST REGION
204,Bishan,1.35092,103.848206,kml_21,BISHAN,CENTRAL REGION
205,Marymount,1.349089,103.839116,kml_21,BISHAN,CENTRAL REGION
206,Tai Seng,1.33594,103.887706,kml_35,TOA PAYOH,CENTRAL REGION
207,MacPherson,1.326769,103.889901,kml_50,GEYLANG,CENTRAL REGION
208,Paya Lebar,1.318214,103.893133,kml_50,GEYLANG,CENTRAL REGION
209,Dakota,1.308474,103.888825,kml_50,GEYLANG,CENTRAL REGION
210,Mountbatten,1.306106,103.883175,kml_50,GEYLANG,CENTRAL REGION
211,Stadium,1.302847,103.875417,kml_11,KALLANG,CENTRAL REGION
212,Nicoll Highway,1.300292,103.863449,kml_37,DOWNTOWN CORE,CENTRAL REGION
213,Promenade,1.294063,103.860156,kml_37,DOWNTOWN CORE,CENTRAL REGION
214,Esplanade,1.293995,103.855396,kml_37,DOWNTOWN CORE,CENTRAL REGION
215,Bras Basah,1.296978,103.850715,kml_40,MUSEUM,CENTRAL REGION
216,Caldecott,1.337649,103.839627,kml_35,TOA PAYOH,CENTRAL REGION
217,Botanic Gardens,1.322387,103.814905,kml_33,TANGLIN,CENTRAL REGION
218,Farrer Road,1.317606,103.807711,kml_3,BUKIT TIMAH,CENTRAL REGION
219,Holland Village,1.311189,103.796119,kml_3,BUKIT TIMAH,CENTRAL REGION
220,Buona Vista,1.307337,103.790046,kml_24,QUEENSTOWN,CENTRAL REGION
221,one-north,1.299854,103.787584,kml_24,QUEENSTOWN,CENTRAL REGION
222,Kent Ridge,1.293629,103.784441,kml_24,QUEENSTOWN,CENTRAL REGION
223,Haw Par Villa,1.283149,103.781991,kml_24,QUEENSTOWN,CENTRAL REGION
224,Pasir Panjang,1.276111,103.791893,kml_24,QUEENSTOWN,CENTRAL REGION
225,Labrador Park,1.27218,103.802557,kml_1,BUKIT MERAH,CENTRAL REGION
226,Telok Blangah,1.270769,103.809878,kml_1,BUKIT MERAH,CENTRAL REGION
227,Harbour Front,1.265453,103.820514,kml_1,BUKIT MERAH,CENTRAL REGION
228,Marina Bay,1.276481,103.854598,kml_37,DOWNTOWN CORE,CENTRAL REGION
229,Bayfront,1.281371,103.858998,kml_37,DOWNTOWN CORE,CENTRAL REGION
1001,Hotel Grand Pacific,1.2968483,103.85254,kml_45,ROCHOR,CENTRAL REGION
1002,St. Joseph's Ch,1.2977097,103.853226,kml_45,ROCHOR,CENTRAL REGION
1003,Bras Basah Cplx,1.2969896,103.85302,kml_37,DOWNTOWN CORE,CENTRAL REGION
1004,Opp Natl Lib,1.2966729,103.854416,kml_37,DOWNTOWN CORE,CENTRAL REGION
1005,Bugis Cube,1.2982079,103.85549,kml_37,DOWNTOWN CORE,CENTRAL REGION
1006,Bugis Stn Exit B,1.3007568,103.85611,kml_37,DOWNTOWN CORE,CENTRAL REGION
1007,Queen St Ter,1.3035858,103.85651,kml_45,ROCHOR,CENTRAL REGION
1008,Queen St Ter,1.3035858,103.85651,kml_45,ROCHOR,CENTRAL REGION
1009,Opp Bugis Stn Exit C,1.3000921,103.8552,kml_45,ROCHOR,CENTRAL REGION
1010,Bugis Stn Exit A,1.301173,103.85612,kml_37,DOWNTOWN CORE,CENTRAL REGION
1011,Aft Bugis Stn Exit C,1.299604,103.85513,kml_37,DOWNTOWN CORE,CENTRAL REGION
1012,Stamford Pr Sch,1.3039382,103.85868,kml_45,ROCHOR,CENTRAL REGION
1013,Opp Stamford Pr Sch,1.3035027,103.85864,kml_45,ROCHOR,CENTRAL REGION
1014,Parkview Sq,1.3003305,103.85716,kml_37,DOWNTOWN CORE,CENTRAL REGION
1015,Opp Blk 461,1.305518,103.86054,kml_11,KALLANG,CENTRAL REGION
1016,Blk 461,1.305266,103.86072,kml_11,KALLANG,CENTRAL REGION
1017,Bef Sultan Mque,1.3033755,103.859634,kml_45,ROCHOR,CENTRAL REGION
1018,Opp Textile Ctr,1.30325,103.861084,kml_45,ROCHOR,CENTRAL REGION
1019,Sultan Plaza,1.3029124,103.86162,kml_11,KALLANG,CENTRAL REGION
1020,Lavender Stn Exit B,1.3070916,103.8622,kml_11,KALLANG,CENTRAL REGION
1021,Lavender Stn Exit A/ICA,1.3075743,103.86326,kml_11,KALLANG,CENTRAL REGION
1022,Blk 8,1.3049567,103.86363,kml_11,KALLANG,CENTRAL REGION
1023,Bef Crawford Bridge,1.307746,103.864265,kml_11,KALLANG,CENTRAL REGION
1024,Southbank,1.3064755,103.864525,kml_11,KALLANG,CENTRAL REGION
1025,Opp Blk 4,1.3056864,103.86544,kml_11,KALLANG,CENTRAL REGION
1026,Opp St. John HQ,1.3021133,103.86295,kml_11,KALLANG,CENTRAL REGION
1027,St. John HQ,1.30202,103.863266,kml_37,DOWNTOWN CORE,CENTRAL REGION
1028,Opp Golden Mile Cplx,1.3033844,103.86484,kml_11,KALLANG,CENTRAL REGION
1029,Golden Mile Cplx,1.3032136,103.86501,kml_37,DOWNTOWN CORE,CENTRAL REGION
1030,Opp The Gateway,1.2991983,103.85864,kml_37,DOWNTOWN CORE,CENTRAL REGION
1031,The Gateway,1.2990749,103.85891,kml_37,DOWNTOWN CORE,CENTRAL REGION
1032,Opp Plaza Parkroyal,1.300883,103.860664,kml_45,ROCHOR,CENTRAL REGION
1033,Plaza Parkroyal,1.3004167,103.86044,kml_37,DOWNTOWN CORE,CENTRAL REGION
1034,Bugis Stn Exit D,1.2988646,103.857346,kml_37,DOWNTOWN CORE,CENTRAL REGION
1035,Landmark Village Hotel,1.3016874,103.85753,kml_45,ROCHOR,CENTRAL REGION
1036,Aft Raffles Hotel,1.2952726,103.85534,kml_37,DOWNTOWN CORE,CENTRAL REGION
1037,Esplanade Stn Exit F,1.294287,103.85504,kml_37,DOWNTOWN CORE,CENTRAL REGION
1038,Opp Shaw Twrs,1.2969589,103.85656,kml_37,DOWNTOWN CORE,CENTRAL REGION
1039,Shaw Twrs,1.2969598,103.856865,kml_37,DOWNTOWN CORE,CENTRAL REGION
1040,Aft Beach Rd,1.2969362,103.855804,kml_37,DOWNTOWN CORE,CENTRAL REGION
1041,Bef Beach Rd,1.2973875,103.855576,kml_37,DOWNTOWN CORE,CENTRAL REGION
1043,Hockey Stadium,1.3947825,103.88633,kml_27,SENGKANG,NORTH-EAST REGION
1044,Opp S'pore Cricket Club,1.2887901,103.852936,kml_37,DOWNTOWN CORE,CENTRAL REGION
1046,Raffles Hotel,1.2945209,103.85402,kml_37,DOWNTOWN CORE,CENTRAL REGION
1047,The Float @ Marina Bay,1.2895031,103.85903,kml_37,DOWNTOWN CORE,CENTRAL REGION
1048,The Esplanade,1.2899638,103.85641,kml_37,DOWNTOWN CORE,CENTRAL REGION
1049,Promenade Stn/Pan Pacific,1.2915269,103.85921,kml_37,DOWNTOWN CORE,CENTRAL REGION
1050,Promenade Stn/Pan Pacific,1.2915269,103.85921,kml_37,DOWNTOWN CORE,CENTRAL REGION
1051,Promenade Stn/Pan Pacific,1.2915269,103.85921,kml_37,DOWNTOWN CORE,CENTRAL REGION
1052,Marina Ctr Ter,1.2914727,103.86149,kml_37,DOWNTOWN CORE,CENTRAL REGION
1053,Marina Ctr Ter,1.2914727,103.86149,kml_37,DOWNTOWN CORE,CENTRAL REGION
1054,AFT S'PORE FLYER,1.2893848,103.86183,kml_37,DOWNTOWN CORE,CENTRAL REGION
1055,Esplanade Bridge,1.2909559,103.85454,kml_37,DOWNTOWN CORE,CENTRAL REGION
1056,Opp War Memorial Pk,1.2918441,103.85535,kml_37,DOWNTOWN CORE,CENTRAL REGION
1057,Suntec Twr Two,1.2957658,103.85934,kml_37,DOWNTOWN CORE,CENTRAL REGION
1058,Suntec Twr Three,1.2956046,103.85956,kml_37,DOWNTOWN CORE,CENTRAL REGION
1059,Suntec Convention Ctr,1.2931777,103.85785,kml_37,DOWNTOWN CORE,CENTRAL REGION
1060,Opp Suntec Convention Ctr,1.2936081,103.858406,kml_37,DOWNTOWN CORE,CENTRAL REGION
1061,Promenade Stn,1.2926855,103.86093,kml_37,DOWNTOWN CORE,CENTRAL REGION
1062,Promenade Stn Exit B,1.2933384,103.86071,kml_37,DOWNTOWN CORE,CENTRAL REGION
1063,Opp The Ritz-Carlton,1.2907,103.86092,kml_37,DOWNTOWN CORE,CENTRAL REGION
1065,Supreme Ct,1.2894745,103.85098,kml_37,DOWNTOWN CORE,CENTRAL REGION
1067,OUE Bayfront,1.284245,103.85311,kml_37,DOWNTOWN CORE,CENTRAL REGION
1068,Prudential Twr,1.2825552,103.84999,kml_37,DOWNTOWN CORE,CENTRAL REGION
1069,Raffles Pl Stn Exit F,1.2820749,103.85086,kml_37,DOWNTOWN CORE,CENTRAL REGION
1070,Telok Ayer Stn Exit A,1.2817951,103.84893,kml_43,OUTRAM,CENTRAL REGION
1071,One Raffles Quay,1.281111,103.85146,kml_37,DOWNTOWN CORE,CENTRAL REGION
1074,Aft Capital Twr,1.277826,103.8481,kml_37,DOWNTOWN CORE,CENTRAL REGION
1075,OPP SO SOFITEL S'PORE,1.2799062,103.8494,kml_37,DOWNTOWN CORE,CENTRAL REGION
1076,UIC Bldg,1.2780701,103.84956,kml_37,DOWNTOWN CORE,CENTRAL REGION
