origin_location_id,destination_location_id,section_of_day,mean_distance,count_trips,origin_code,destination_code,origin_lat,destination_lat,origin_lon,destination_lon
6479,1545,afternoon,2.2,14,14399,14241,1.2776366,1.2791436,103.808586,103.81687
6303,6520,afternoon,1.6,1,58419,58211,1.4546446,1.449262,103.81584,103.81979
1176,3300,evening,1.7,13,7031,50081,1.3057208,1.3166317,103.851204,103.85025
59,56,afternoon,1.9,23,59,56,1.399281985,1.397318155,103.9059403,103.8756226
101,130,evening,1.0,60,101,130,1.26547264,1.272332732,103.821446,103.8029471
2864,2912,evening,1.1,14,44229,44631,1.3765606,1.3796172,103.77146,103.76391
6677,5376,morning,0.7,33,22599,22009,1.3448404,1.3393234,103.70308,103.70546
134,133,morning,0.7,17,134,133,1.325883209,1.313607102,103.8073292,103.8378098
4563,6820,afternoon,1.3,14,76289,75009,1.3473873,1.3540756,103.93815,103.94339
4033,4000,morning,0.3,2,63241,63061,1.3640978,1.3662384,103.892136,103.89129
2307,2289,afternoon,0.3,12,27271,27131,1.3419999,1.34194,103.69132,103.68853
133,134,evening,0.7,13,133,134,1.313607102,1.325883209,103.8378098,103.8073292
6302,3794,morning,1.1,18,58401,58321,1.4557565,1.4502057,103.818,103.81615
1680,6655,morning,0.8,38,17201,17009,1.3205571,1.3149158,103.76735,103.76412
133,134,morning,0.7,15,133,134,1.313607102,1.325883209,103.8378098,103.8073292
21,19,morning,4.2,36,21,19,1.294860933,1.385361693,103.8058913,103.744367
6455,4291,evening,3.5,12,67399,67109,1.3938501,1.3910289,103.89167,103.89999
1546,6479,morning,1.4,11,14249,14399,1.279474,1.2776366,103.81733,103.808586
2864,6049,dawn,1.5,15,44229,44361,1.3765606,1.3664589,103.77146,103.77559
21,48,morning,11.5,40,21,48,1.294860933,1.384520796,103.8058913,103.7708268
4886,5582,evening,1.2,9,84211,84281,1.3300475,1.3265772,103.93444,103.94039
2913,2863,night,1.2,30,44639,44221,1.3800697,1.3762996,103.76396,103.770996
6330,6288,afternoon,1.1,11,58329,58409,1.4505019,1.4561083,103.81656,103.8181
6065,2863,evening,1.5,12,44369,44221,1.3657428,1.3762996,103.775314,103.770996
4888,5582,evening,1.0,27,84221,84281,1.331858,1.3265772,103.93513,103.94039
5796,2316,morning,1.3,14,27139,27349,1.3420274,1.3468081,103.68898,103.697815
2315,2307,afternoon,1.1,12,27341,27271,1.346637,1.3419999,103.697784,103.69132
2405,2380,evening,3.41,16,28409,28279,1.3508115,1.3394829,103.71794,103.73424
6097,6455,morning,0.5,25,67409,67399,1.3923391,1.3938501,103.896065,103.89167
5586,4889,morning,1.1,26,84289,84229,1.3266307,1.3315995,103.94017,103.93531
101,130,afternoon,1.0,53,101,130,1.26547264,1.272332732,103.821446,103.8029471
134,112,morning,15.9,2,134,112,1.325883209,1.300260055,103.8073292,103.8390737
6521,6313,afternoon,1.4,8,58219,58411,1.4495347,1.454612,103.81993,103.81658
48,21,afternoon,11.5,40,48,21,1.384520796,1.294860933,103.7708268,103.8058913
19,21,morning,4.2,15,19,21,1.385361693,1.294860933,103.744367,103.8058913
19,21,evening,4.2,16,19,21,1.385361693,1.294860933,103.744367,103.8058913
135,132,afternoon,1.8,13,135,132,1.286193393,1.284748969,103.827021,103.8444484
6772,1680,afternoon,0.9,34,17009,17201,1.3149158,1.3205571,103.76412,103.76735
2315,2289,morning,1.4,14,27341,27131,1.346637,1.34194,103.697784,103.68853
1545,1537,afternoon,1.1,24,14241,14201,1.2791436,1.2816731,103.81687,103.80914
105,101,evening,5.6,27,105,101,1.326076883,1.26547264,103.8893356,103.821446
131,135,afternoon,2.3,17,131,135,1.284359578,1.286193393,103.8434242,103.827021
1538,1546,morning,1.0,11,14209,14249,1.281764,1.279474,103.809586,103.81733
5796,2316,afternoon,1.3,37,27139,27349,1.3420274,1.3468081,103.68898,103.697815
6822,4488,afternoon,1.2,11,75009,75139,1.3540756,1.3556397,103.94339,103.93613
135,131,afternoon,2.3,13,135,131,1.286193393,1.284359578,103.827021,103.8434242
5586,4889,evening,1.1,12,84289,84229,1.3266307,1.3315995,103.94017,103.93531
1680,6655,evening,0.8,28,17201,17009,1.3205571,1.3149158,103.76735,103.76412
4627,4037,morning,8.0,8,77241,63271,1.3753133,1.356395,103.94027,103.88998
4291,6097,morning,0.4,24,67109,67409,1.3910289,1.3923391,103.89999,103.896065
56,59,morning,1.9,24,56,59,1.397318155,1.399281985,103.8756226,103.9059403
6843,6208,morning,1.1,62,22009,22511,1.3393234,1.3374618,103.70546,103.700294
130,101,morning,1.0,154,130,101,1.272332732,1.26547264,103.8029471,103.821446
45,115,evening,28.3,12,45,115,1.398212828,1.281873788,103.881242,103.8590733
21,19,evening,4.2,18,21,19,1.294860933,1.385361693,103.8058913,103.744367
2349,2404,afternoon,3.0,16,28081,28401,1.3395083,1.3506546,103.73665,103.71861
6825,4562,morning,1.4,26,75009,76281,1.3540756,1.3475838,103.94339,103.938484
135,131,morning,2.3,6,135,131,1.286193393,1.284359578,103.827021,103.8434242
134,133,evening,0.7,13,134,133,1.325883209,1.313607102,103.8073292,103.8378098
6843,2019,afternoon,1.8,2,22009,22411,1.3393234,1.3462679,103.70546,103.703804
1250,1266,morning,1.1,3,10079,10161,1.280395,1.2859313,103.82709,103.82669
6772,1784,morning,0.8,22,17009,20101,1.3149158,1.3199371,103.76412,103.76222
134,101,afternoon,2.0,28,134,101,1.325883209,1.26547264,103.8073292,103.821446
101,131,morning,1.4,248,101,131,1.26547264,1.284359578,103.821446,103.8434242
5062,5014,evening,1.2,16,92309,92049,1.3082786,1.302999,103.91268,103.90595
4663,5426,morning,1.4,39,78109,78271,1.3753332,1.3792225,103.95388,103.96384
1563,1304,afternoon,1.2,13,14389,10361,1.2742816,1.280381,103.82501,103.82353
106,101,night,7.3,14,106,101,1.404546728,1.26547264,103.902052,103.821446
6096,4290,morning,0.5,13,67401,67101,1.3929085,1.3914315,103.89532,103.89957
6641,6642,night,0.6,11,67601,64571,1.3833447,1.3781116,103.893265,103.89297
4307,4319,morning,0.4,14,67189,67249,1.3905996,1.3937657,103.89742,103.898506
3001,2987,morning,0.7,17,45439,45329,1.4012719,1.397438,103.75115,103.74786
