destination_area_code,origin_area_code,origin_area_name,destination_area_name,section_of_day,count_trips
kml_1,kml_1,BUKIT MERAH,BUKIT MERAH,afternoon,372
kml_1,kml_1,BUKIT MERAH,BUKIT MERAH,evening,258
kml_1,kml_1,BUKIT MERAH,BUKIT MERAH,morning,881
kml_1,kml_1,BUKIT MERAH,BUKIT MERAH,night,1
kml_1,kml_10,JURONG WEST,BUKIT MERAH,evening,7
kml_1,kml_10,JURONG WEST,BUKIT MERAH,morning,11
kml_1,kml_11,KALLANG,BUKIT MERAH,evening,11
kml_1,kml_20,BEDOK,BUKIT MERAH,evening,11
kml_1,kml_23,BUKIT BATOK,BUKIT MERAH,morning,1
kml_1,kml_24,QUEENSTOWN,BUKIT MERAH,afternoon,56
kml_1,kml_24,QUEENSTOWN,BUKIT MERAH,evening,37
kml_1,kml_24,QUEENSTOWN,BUKIT MERAH,morning,67
kml_1,kml_26,SEMBAWANG,BUKIT MERAH,evening,10
kml_1,kml_33,TANGLIN,BUKIT MERAH,afternoon,10
kml_1,kml_33,TANGLIN,BUKIT MERAH,morning,39
kml_1,kml_37,DOWNTOWN CORE,BUKIT MERAH,evening,63
kml_1,kml_40,MUSEUM,BUKIT MERAH,morning,7
kml_1,kml_42,ORCHARD,BUKIT MERAH,evening,17
kml_1,kml_42,ORCHARD,BUKIT MERAH,morning,10
kml_1,kml_43,OUTRAM,BUKIT MERAH,afternoon,6
kml_1,kml_43,OUTRAM,BUKIT MERAH,evening,13
kml_1,kml_43,OUTRAM,BUKIT MERAH,morning,36
kml_1,kml_44,RIVER VALLEY,BUKIT MERAH,morning,1
kml_1,kml_46,SINGAPORE RIVER,BUKIT MERAH,afternoon,13
kml_1,kml_46,SINGAPORE RIVER,BUKIT MERAH,evening,3
kml_1,kml_46,SINGAPORE RIVER,BUKIT MERAH,morning,28
kml_1,kml_50,GEYLANG,BUKIT MERAH,evening,5
kml_1,kml_50,GEYLANG,BUKIT MERAH,morning,12
kml_1,kml_7,CLEMENTI,BUKIT MERAH,morning,16
kml_1,kml_9,JURONG EAST,BUKIT MERAH,morning,10
kml_10,kml_1,BUKIT MERAH,JURONG WEST,afternoon,11
kml_10,kml_1,BUKIT MERAH,JURONG WEST,morning,7
kml_10,kml_10,JURONG WEST,JURONG WEST,afternoon,605
kml_10,kml_10,JURONG WEST,JURONG WEST,evening,494
kml_10,kml_10,JURONG WEST,JURONG WEST,morning,1766
kml_10,kml_10,JURONG WEST,JURONG WEST,night,55
kml_10,kml_11,KALLANG,JURONG WEST,evening,17
kml_10,kml_15,NOVENA,JURONG WEST,afternoon,10
kml_10,kml_19,ANG MO KIO,JURONG WEST,morning,10
kml_10,kml_20,BEDOK,JURONG WEST,afternoon,10
kml_10,kml_20,BEDOK,JURONG WEST,morning,17
kml_10,kml_21,BISHAN,JURONG WEST,morning,9
kml_10,kml_23,BUKIT BATOK,JURONG WEST,morning,40
kml_10,kml_24,QUEENSTOWN,JURONG WEST,night,15
kml_10,kml_26,SEMBAWANG,JURONG WEST,afternoon,11
kml_10,kml_41,NEWTON,JURONG WEST,evening,4
kml_10,kml_53,WESTERN WATER CATCHMENT,JURONG WEST,evening,17
kml_10,kml_54,WOODLANDS,JURONG WEST,afternoon,11
kml_10,kml_54,WOODLANDS,JURONG WEST,morning,47
kml_10,kml_55,YISHUN,JURONG WEST,evening,11
kml_10,kml_6,CHOA CHU KANG,JURONG WEST,afternoon,2
kml_10,kml_6,CHOA CHU KANG,JURONG WEST,morning,23
kml_10,kml_7,CLEMENTI,JURONG WEST,evening,6
kml_10,kml_7,CLEMENTI,JURONG WEST,morning,11
kml_10,kml_7,CLEMENTI,JURONG WEST,night,13
kml_10,kml_9,JURONG EAST,JURONG WEST,afternoon,131
kml_10,kml_9,JURONG EAST,JURONG WEST,evening,142
kml_10,kml_9,JURONG EAST,JURONG WEST,morning,93
kml_11,kml_1,BUKIT MERAH,KALLANG,morning,10
kml_11,kml_10,JURONG WEST,KALLANG,morning,17
kml_11,kml_11,KALLANG,KALLANG,afternoon,27
kml_11,kml_11,KALLANG,KALLANG,evening,34
kml_11,kml_11,KALLANG,KALLANG,morning,96
kml_11,kml_11,KALLANG,KALLANG,night,7
kml_11,kml_15,NOVENA,KALLANG,afternoon,30
kml_11,kml_15,NOVENA,KALLANG,morning,73
kml_11,kml_16,PASIR RIS,KALLANG,morning,17
kml_11,kml_20,BEDOK,KALLANG,morning,11
kml_11,kml_24,QUEENSTOWN,KALLANG,morning,9
kml_11,kml_35,TOA PAYOH,KALLANG,afternoon,11
kml_11,kml_35,TOA PAYOH,KALLANG,morning,18
kml_11,kml_37,DOWNTOWN CORE,KALLANG,evening,6
kml_11,kml_45,ROCHOR,KALLANG,afternoon,6
kml_11,kml_45,ROCHOR,KALLANG,evening,25
kml_11,kml_45,ROCHOR,KALLANG,morning,60
kml_11,kml_49,MARINE PARADE,KALLANG,evening,15
kml_11,kml_49,MARINE PARADE,KALLANG,morning,33
kml_11,kml_50,GEYLANG,KALLANG,afternoon,55
kml_11,kml_50,GEYLANG,KALLANG,evening,48
kml_11,kml_50,GEYLANG,KALLANG,morning,96
kml_11,kml_55,YISHUN,KALLANG,morning,14
kml_11,kml_9,JURONG EAST,KALLANG,night,10
kml_15,kml_1,BUKIT MERAH,NOVENA,morning,17
kml_15,kml_10,JURONG WEST,NOVENA,morning,21
kml_15,kml_11,KALLANG,NOVENA,afternoon,36
kml_15,kml_11,KALLANG,NOVENA,evening,15
kml_15,kml_11,KALLANG,NOVENA,morning,35
kml_15,kml_15,NOVENA,NOVENA,afternoon,47
kml_15,kml_15,NOVENA,NOVENA,evening,14
kml_15,kml_15,NOVENA,NOVENA,morning,160
kml_15,kml_18,PUNGGOL,NOVENA,morning,4
kml_15,kml_19,ANG MO KIO,NOVENA,morning,65
kml_15,kml_20,BEDOK,NOVENA,morning,26
kml_15,kml_21,BISHAN,NOVENA,morning,7
kml_15,kml_26,SEMBAWANG,NOVENA,morning,41
kml_15,kml_3,BUKIT TIMAH,NOVENA,morning,2
kml_15,kml_35,TOA PAYOH,NOVENA,afternoon,35
kml_15,kml_35,TOA PAYOH,NOVENA,morning,177
kml_15,kml_37,DOWNTOWN CORE,NOVENA,morning,5
kml_15,kml_41,NEWTON,NOVENA,morning,53
kml_15,kml_42,ORCHARD,NOVENA,morning,12
kml_15,kml_44,RIVER VALLEY,NOVENA,morning,10
kml_15,kml_45,ROCHOR,NOVENA,evening,14
kml_15,kml_45,ROCHOR,NOVENA,morning,68
kml_15,kml_54,WOODLANDS,NOVENA,morning,24
kml_15,kml_55,YISHUN,NOVENA,afternoon,3
kml_15,kml_55,YISHUN,NOVENA,morning,74
kml_15,kml_6,CHOA CHU KANG,NOVENA,afternoon,11
kml_15,kml_6,CHOA CHU KANG,NOVENA,morning,13
kml_15,kml_7,CLEMENTI,NOVENA,morning,13
kml_16,kml_11,KALLANG,PASIR RIS,evening,17
kml_16,kml_15,NOVENA,PASIR RIS,morning,9
kml_16,kml_16,PASIR RIS,PASIR RIS,afternoon,166
kml_16,kml_16,PASIR RIS,PASIR RIS,evening,92
kml_16,kml_16,PASIR RIS,PASIR RIS,morning,438
kml_16,kml_16,PASIR RIS,PASIR RIS,night,14
kml_16,kml_18,PUNGGOL,PASIR RIS,morning,32
kml_16,kml_20,BEDOK,PASIR RIS,evening,13
kml_16,kml_20,BEDOK,PASIR RIS,morning,18
kml_16,kml_27,SENGKANG,PASIR RIS,morning,25
kml_16,kml_28,SERANGOON,PASIR RIS,morning,11
kml_16,kml_32,TAMPINES,PASIR RIS,afternoon,40
kml_16,kml_32,TAMPINES,PASIR RIS,evening,88
kml_16,kml_32,TAMPINES,PASIR RIS,morning,52
kml_16,kml_40,MUSEUM,PASIR RIS,night,19
kml_16,kml_5,CHANGI,PASIR RIS,evening,2
kml_16,kml_5,CHANGI,PASIR RIS,morning,21
kml_16,kml_5,CHANGI,PASIR RIS,night,1
kml_16,kml_50,GEYLANG,PASIR RIS,evening,10
kml_16,kml_55,YISHUN,PASIR RIS,evening,12
kml_16,kml_8,HOUGANG,PASIR RIS,evening,51
kml_17,kml_24,QUEENSTOWN,PIONEER,morning,3
kml_17,kml_27,SENGKANG,PIONEER,morning,14
kml_17,kml_36,TUAS,PIONEER,evening,12
kml_17,kml_54,WOODLANDS,PIONEER,morning,10
kml_17,kml_7,CLEMENTI,PIONEER,morning,10
kml_18,kml_18,PUNGGOL,PUNGGOL,afternoon,97
kml_18,kml_18,PUNGGOL,PUNGGOL,evening,106
kml_18,kml_18,PUNGGOL,PUNGGOL,morning,296
kml_18,kml_20,BEDOK,PUNGGOL,afternoon,10
kml_18,kml_27,SENGKANG,PUNGGOL,afternoon,103
kml_18,kml_27,SENGKANG,PUNGGOL,evening,217
kml_18,kml_27,SENGKANG,PUNGGOL,morning,109
kml_18,kml_27,SENGKANG,PUNGGOL,night,8
kml_18,kml_28,SERANGOON,PUNGGOL,morning,6
kml_18,kml_32,TAMPINES,PUNGGOL,afternoon,24
kml_18,kml_37,DOWNTOWN CORE,PUNGGOL,evening,9
kml_18,kml_42,ORCHARD,PUNGGOL,night,2
kml_18,kml_55,YISHUN,PUNGGOL,evening,10
kml_18,kml_55,YISHUN,PUNGGOL,morning,3
kml_18,kml_8,HOUGANG,PUNGGOL,afternoon,1
