location_id,location_name,type,lat,lng
1,Yio Chu Kang,MRT,1.381765,103.844923
2,Ang Mo Kio,MRT,1.370025,103.849588
3,Bishan,MRT,1.35092,103.848206
4,Braddell,MRT,1.34055,103.847098
5,Toa Payoh,MRT,1.332405,103.847436
6,Novena,MRT,1.320089,103.843405
7,Newton,MRT,1.31383,103.838021
8,Orchard,MRT,1.304041,103.831792
9,Somerset,MRT,1.300508,103.838428
10,Dhoby Ghaut,MRT,1.299169,103.845799
11,City Hall,MRT,1.293119,103.852089
12,Raffles Place,MRT,1.284001,103.85155
13,Marina Bay,MRT,1.276481,103.854598
14,Tanjong Pagar,MRT,1.276385,103.846771
15,Outram Park,MRT,1.280319,103.839459
16,Tiong Bahru,MRT,1.286555,103.826956
17,Redhill,MRT,1.289674,103.816787
18,Queenstown,MRT,1.294867,103.805902
19,Commonwealth,MRT,1.302439,103.798326
20,Buona Vista,MRT,1.307337,103.790046
21,Clementi,MRT,1.314925,103.765341
22,Yishun,MRT,1.429666,103.835044
23,Khatib,MRT,1.417423,103.832995
24,Jurong East,MRT,1.333207,103.742308
25,Chinese Garden,MRT,1.342436,103.732582
26,Lakeside,MRT,1.344264,103.720797
27,Boon Lay,MRT,1.33862,103.705817
28,Bukit Batok,MRT,1.349069,103.749596
29,Bukit Gombak,MRT,1.359043,103.751863
30,Choa Chu Kang,MRT,1.385417,103.744316
31,Bugis,MRT,1.300747,103.855873
32,Lavender,MRT,1.307577,103.863155
33,Kallang,MRT,1.311532,103.871372
34,Aljunied,MRT,1.316474,103.882762
35,Paya Lebar,MRT,1.318214,103.893133
36,Eunos,MRT,1.319809,103.902888
37,Kembangan,MRT,1.320998,103.913433
38,Bedok,MRT,1.324043,103.930205
39,Tanah Merah,MRT,1.327309,103.946479
40,Simei,MRT,1.343237,103.953343
41,Tampines,MRT,1.354467,103.943325
42,Pasir Ris,MRT,1.373234,103.949343
43,Sembawang,MRT,1.449133,103.82006
44,Admiralty,MRT,1.436984,103.786406
45,Woodlands,MRT,1.436984,103.786406
46,Marsiling,MRT,1.432579,103.77415
47,Kranji,MRT,1.425302,103.762049
48,Yew Tee,MRT,1.397383,103.747523
50,South View,LRT,1.380299,103.745286
51,Keat Hong,LRT,1.378604,103.749058
52,Teck Whye,LRT,1.376738,103.753665
53,Phoenix,LRT,1.378798,103.758021
54,Bukit Panjang,MRT,1.37834,103.762452
55,Petir,LRT,1.377828,103.76655
56,Pending,LRT,1.376223,103.771277
57,Bangkit,LRT,1.380281,103.772576
58,Fajar,LRT,1.384502,103.770862
59,Segar,LRT,1.387713,103.769599
60,Jelapang,LRT,1.386703,103.764547
61,Senja,LRT,1.382852,103.762312
63,Expo,MRT,1.334479,103.961459
64,Dover,MRT,1.311414,103.778596
65,Changi Airport,MRT,1.357622,103.988487
66,Pioneer,MRT,1.337645,103.69742
