Area Name,Total,children,AreaCode
Ang Mo Kio,174770,7660,kml_19
Bedok,289750,13400,kml_20
Bishan,90700,4330,kml_21
Boon Lay,30,0,kml_22
Bukit Batok,139270,6890,kml_23
Bukit Merah,155840,7480,kml_1
Bukit Panjang,139030,7630,kml_2
Bukit Timah,74470,4660,kml_3
Central Water Catchment,10,0,kml_4
Changi,2530,230,kml_5
Choa Chu Kang,174330,9340,kml_6
Clementi,91630,4420,kml_7
Downtown Core,3720,120,kml_37
Geylang,116960,5350,kml_50
Hougang,222310,10010,kml_8
Jurong East,84980,3880,kml_9
Jurong West,272660,15900,kml_10
Kallang,101210,4440,kml_11
Marine Parade,48730,2710,kml_49
Museum,380,20,kml_40
Newton,6920,470,kml_41
Novena,47990,2770,kml_15
Orchard,920,60,kml_42
Outram,22080,1080,kml_43
Pasir Ris,139890,7100,kml_16
Punggol,109750,9200,kml_18
Queenstown,98050,4510,kml_24
River Valley,9190,520,kml_44
Rochor,14590,570,kml_45
Seletar,270,20,kml_25
Sembawang,76530,5400,kml_26
Sengkang,206680,15180,kml_27
Serangoon,120670,5080,kml_28
Singapore River,2720,170,kml_46
Southern Islands,1480,90,kml_30
Sungei Kadut,850,30,kml_31
Tampines,261230,12260,kml_32
Tanglin,19000,1290,kml_33
Toa Payoh,124940,5650,kml_35
Western Water Catchment,900,50,kml_35
Woodlands,250290,14430,kml_54
Yishun,201970,9950,kml_55
