area,child_no,caregiver_no
ANG MO KIO,543,586
BEDOK,757,832
BISHAN,265,277
BUKIT BATOK,405,441
BUKIT MERAH,495,536
BUKIT PANJANG,346,361
BUKIT TIMAH,144,152
CENTRAL WATER CATCHMENT,2,2
CHANGI,8,10
CHOA CHU KANG,651,697
CLEMENTI,332,346
DOWNTOWN CORE,50,50
GEYLANG,345,371
HOUGANG,732,787
JURONG EAST,353,384
JURONG WEST,1054,1127
KALLANG,281,292
MANDAI,7,8
MARINE PARADE,148,158
MUSEUM,24,24
NEWTON,23,24
NOVENA,184,191
ORCHARD,50,57
OUTRAM,47,52
PASIR RIS,404,436
PIONEER,2,2
PUNGGOL,775,819
QUEENSTOWN,371,405
RIVER VALLEY,11,13
ROCHOR,46,46
SELETAR,4,4
SEMBAWANG,275,294
SENGKANG,1072,1145
SERANGOON,409,450
SINGAPORE RIVER,9,10
SUNGEI KADUT,1,1
TAMPINES,863,942
TANGLIN,38,41
TOA PAYOH,485,523
WESTERN WATER CATCHMENT,1,1
WOODLANDS,714,795
YISHUN,589,653
