area,child_no,caregiver_no
ANG MO KIO,47,48
BEDOK,62,64
BISHAN,20,22
BUKIT BATOK,28,28
BUKIT MERAH,48,53
BUKIT PANJANG,40,41
BUKIT TIMAH,14,15
CHANGI,1,1
CHOA CHU KANG,48,50
CLEMENTI,36,38
DOWNTOWN CORE,3,3
GEYLANG,18,19
HOUGANG,91,94
JURONG EAST,36,36
JURONG WEST,80,83
KALLANG,23,22
MARINE PARADE,10,10
MUSEUM,1,1
NEWTON,1,1
NOVENA,11,11
OUTRAM,8,9
PASIR RIS,22,23
PIONEER,1,1
PUNGGOL,77,79
QUEENSTOWN,31,32
RIVER VALLEY,2,2
ROCHOR,3,3
SEMBAWANG,21,22
SENGKANG,92,97
SERANGOON,54,54
SINGAPORE RIVER,1,1
TAMPINES,73,73
TANGLIN,2,2
TOA PAYOH,54,56
WOODLANDS,34,35
YISHUN,48,51
