area,child_no,caregiver_no
ANG MO KIO,29,30
BEDOK,34,34
BISHAN,10,11
BUKIT BATOK,17,16
BUKIT MERAH,27,28
BUKIT PANJANG,20,21
BUKIT TIMAH,11,11
CHANGI,1,1
CHOA CHU KANG,26,26
CLEMENTI,24,24
DOWNTOWN CORE,3,3
GEYLANG,12,12
HOUGANG,54,56
JURONG EAST,13,13
JURONG WEST,48,47
KALLANG,8,9
MARINE PARADE,8,8
MUSEUM,1,1
NEWTON,1,1
NOVENA,8,8
OUTRAM,4,5
PASIR RIS,14,15
PIONEER,1,1
PUNGGOL,44,44
QUEENSTOWN,22,23
ROCHOR,2,2
SEMBAWANG,12,12
SENGKANG,44,46
SERANGOON,29,29
SINGAPORE RIVER,1,1
TAMPINES,36,36
TANGLIN,2,2
TOA PAYOH,35,36
WOODLANDS,14,15
YISHUN,27,29
