area,child_no,caregiver_no
ANG MO KIO,81,86
BEDOK,93,98
BISHAN,37,41
BUKIT BATOK,59,65
BUKIT MERAH,83,91
BUKIT PANJANG,72,72
BUKIT TIMAH,16,16
CENTRAL WATER CATCHMENT,1,1
CHANGI,2,3
CHOA CHU KANG,100,104
CLEMENTI,49,55
DOWNTOWN CORE,4,5
GEYLANG,44,46
HOUGANG,109,115
JURONG EAST,59,59
JURONG WEST,182,191
KALLANG,34,35
MARINE PARADE,12,12
MUSEUM,1,1
NEWTON,1,1
NOVENA,16,17
OUTRAM,10,13
PASIR RIS,64,72
PUNGGOL,153,165
QUEENSTOWN,50,58
RIVER VALLEY,1,1
ROCHOR,7,7
SEMBAWANG,73,77
SENGKANG,206,217
SERANGOON,48,50
SINGAPORE RIVER,2,4
TAMPINES,139,145
TOA PAYOH,62,68
WOODLANDS,183,191
YISHUN,101,111
