area,child_no,caregiver_no
ANG MO KIO,178,184
BEDOK,231,238
BISHAN,84,85
BUKIT BATOK,109,112
BUKIT MERAH,113,117
BUKIT PANJANG,91,90
BUKIT TIMAH,54,56
CENTRAL WATER CATCHMENT,2,2
CHANGI,2,2
CHOA CHU KANG,160,163
CLEMENTI,67,70
DOWNTOWN CORE,10,10
GEYLANG,103,106
HOUGANG,214,218
JURONG EAST,97,98
JURONG WEST,268,276
KALLANG,86,87
MANDAI,2,2
MARINE PARADE,52,52
MUSEUM,7,7
NEWTON,10,10
NOVENA,56,60
ORCHARD,21,22
OUTRAM,13,13
PASIR RIS,116,119
PIONEER,1,1
PUNGGOL,163,168
QUEENSTOWN,99,100
ROCHOR,18,18
SELETAR,2,2
SEMBAWANG,71,72
SENGKANG,273,276
SERANGOON,121,122
SINGAPORE RIVER,2,2
SUNGEI KADUT,1,1
TAMPINES,226,234
TANGLIN,12,12
TOA PAYOH,118,119
WOODLANDS,189,201
YISHUN,149,160
