area,child_no,caregiver_no
ANG MO KIO,997,1494
BEDOK,1429,2232
BISHAN,503,738
BUKIT BATOK,771,1167
BUKIT MERAH,1051,1590
BUKIT PANJANG,735,1047
BUKIT TIMAH,290,438
CENTRAL WATER CATCHMENT,4,5
CHANGI,22,36
CHOA CHU KANG,1294,1948
CLEMENTI,658,995
DOWNTOWN CORE,95,127
GEYLANG,651,969
HOUGANG,1491,2163
JURONG EAST,717,1091
JURONG WEST,2140,3264
KALLANG,583,879
MANDAI,10,12
MARINE PARADE,276,406
MUSEUM,33,49
NEWTON,51,64
NOVENA,368,495
ORCHARD,94,126
OUTRAM,91,120
PASIR RIS,838,1314
PIONEER,5,5
PUNGGOL,1623,2382
QUEENSTOWN,799,1187
RIVER VALLEY,26,31
ROCHOR,77,100
SELETAR,4,5
SEMBAWANG,570,899
SENGKANG,2323,3506
SERANGOON,803,1197
SINGAPORE RIVER,24,32
SUNGEI KADUT,3,6
TAMPINES,1665,2631
TANGLIN,83,124
TOA PAYOH,988,1465
TUAS,1,3
WESTERN WATER CATCHMENT,5,21
WOODLANDS,1482,2415
YISHUN,1252,1905
