area,child_no,caregiver_no
ANG MO KIO,840,994
BEDOK,1229,1508
BISHAN,415,483
BUKIT BATOK,656,807
BUKIT MERAH,863,1041
BUKIT PANJANG,609,685
BUKIT TIMAH,235,281
CENTRAL WATER CATCHMENT,3,3
CHANGI,17,24
CHOA CHU KANG,1066,1278
CLEMENTI,545,655
DOWNTOWN CORE,78,87
GEYLANG,543,642
HOUGANG,1223,1436
JURONG EAST,587,710
JURONG WEST,1749,2079
KALLANG,468,545
MANDAI,7,8
MARINE PARADE,227,265
MUSEUM,30,34
NEWTON,44,48
NOVENA,304,338
ORCHARD,73,90
OUTRAM,77,89
PASIR RIS,698,850
PIONEER,3,3
PUNGGOL,1314,1564
QUEENSTOWN,653,766
RIVER VALLEY,19,21
ROCHOR,63,70
SELETAR,4,4
SEMBAWANG,471,579
SENGKANG,1865,2201
SERANGOON,676,810
SINGAPORE RIVER,17,19
SUNGEI KADUT,1,1
TAMPINES,1415,1761
TANGLIN,61,79
TOA PAYOH,820,989
WESTERN WATER CATCHMENT,1,1
WOODLANDS,1218,1562
YISHUN,1017,1252
