area,child_no,caregiver_no
ANG MO KIO,72,76
BEDOK,87,93
BISHAN,35,38
BUKIT BATOK,38,38
BUKIT MERAH,86,96
BUKIT PANJANG,54,59
BUKIT TIMAH,19,19
CHANGI,4,4
CHOA CHU KANG,76,81
CLEMENTI,54,60
DOWNTOWN CORE,4,4
GEYLANG,29,28
HOUGANG,122,129
JURONG EAST,51,55
JURONG WEST,132,138
KALLANG,37,37
MARINE PARADE,14,14
MUSEUM,1,1
NEWTON,1,1
NOVENA,16,15
ORCHARD,1,1
OUTRAM,9,11
PASIR RIS,37,39
PIONEER,1,1
PUNGGOL,116,117
QUEENSTOWN,49,52
RIVER VALLEY,2,2
ROCHOR,4,4
SEMBAWANG,30,33
SENGKANG,143,154
SERANGOON,66,70
SINGAPORE RIVER,1,1
TAMPINES,108,107
TANGLIN,3,2
TOA PAYOH,84,89
WESTERN WATER CATCHMENT,1,7
WOODLANDS,68,74
YISHUN,85,88
