area,child_no,caregiver_no
ANG MO KIO,159,173
BEDOK,183,211
BISHAN,81,92
BUKIT BATOK,121,137
BUKIT MERAH,170,203
BUKIT PANJANG,150,164
BUKIT TIMAH,28,30
CENTRAL WATER CATCHMENT,1,1
CHANGI,3,5
CHOA CHU KANG,223,249
CLEMENTI,113,130
DOWNTOWN CORE,9,10
GEYLANG,100,113
HOUGANG,224,246
JURONG EAST,122,127
JURONG WEST,399,443
KALLANG,78,85
MARINE PARADE,23,25
MUSEUM,2,2
NEWTON,2,2
NOVENA,30,33
OUTRAM,12,17
PASIR RIS,131,151
PUNGGOL,277,311
QUEENSTOWN,104,119
RIVER VALLEY,3,4
ROCHOR,11,11
SEMBAWANG,144,156
SENGKANG,411,454
SERANGOON,99,121
SINGAPORE RIVER,3,5
TAMPINES,253,271
TANGLIN,1,1
TOA PAYOH,131,187
WOODLANDS,364,405
YISHUN,230,269
