origin_location_id,destination_location_id,section_of_day,mean_distance,count_trips,origin_code,destination_code,origin_lat,destination_lat,origin_lon,destination_lon,origin_area_code,origin_area_name,origin_region_name,origin_location_id_1,destination_area_code,destination_area_name,destination_region_name,destination_location_id_1
6479,1545,afternoon,2.2,14,14399,14241,1.2776366,1.2791436,103.808586,103.81687,kml_1,BUKIT MERAH,CENTRAL REGION,6479,kml_1,BUKIT MERAH,CENTRAL REGION,1545
6303,6520,afternoon,1.6,1,58419,58211,1.4546446,1.449262,103.81584,103.81979,kml_26,SEMBAWANG,NORTH REGION,6303,kml_26,SEMBAWANG,NORTH REGION,6520
1176,3300,evening,1.7,13,7031,50081,1.3057208,1.3166317,103.851204,103.85025,kml_45,ROCHOR,CENTRAL REGION,1176,kml_11,KALLANG,CENTRAL REGION,3300
59,56,afternoon,1.9,23,59,56,1.360499,1.391254,103.885169,103.89537,kml_2,BUKIT PANJANG,WEST REGION,59,kml_2,BUKIT PANJANG,WEST REGION,56
2864,2912,evening,1.1,14,44229,44631,1.3765606,1.3796172,103.77146,103.76391,kml_2,BUKIT PANJANG,WEST REGION,2864,kml_2,BUKIT PANJANG,WEST REGION,2912
6677,5376,morning,0.7,33,22599,22009,1.3448404,1.3393234,103.70308,103.70546,kml_10,JURONG WEST,WEST REGION,6677,kml_10,JURONG WEST,WEST REGION,5376
4563,6820,afternoon,1.3,14,76289,75009,1.3473873,1.3540756,103.93815,103.94339,kml_32,TAMPINES,EAST REGION,4563,kml_32,TAMPINES,EAST REGION,6820
4033,4000,morning,0.3,2,63241,63061,1.3640978,1.3662384,103.892136,103.89129,kml_8,HOUGANG,NORTH-EAST REGION,4033,kml_8,HOUGANG,NORTH-EAST REGION,4000
2307,2289,afternoon,0.3,12,27271,27131,1.3419999,1.34194,103.69132,103.68853,kml_10,JURONG WEST,WEST REGION,2307,kml_10,JURONG WEST,WEST REGION,2289
6302,3794,morning,1.1,18,58401,58321,1.4557565,1.4502057,103.818,103.81615,kml_26,SEMBAWANG,NORTH REGION,6302,kml_26,SEMBAWANG,NORTH REGION,3794
1680,6655,morning,0.8,38,17201,17009,1.3205571,1.3149158,103.76735,103.76412,kml_7,CLEMENTI,WEST REGION,1680,kml_7,CLEMENTI,WEST REGION,6655
21,19,morning,4.2,36,21,19,1.315302,1.302559,103.765244,103.798225,kml_7,CLEMENTI,WEST REGION,21,kml_24,QUEENSTOWN,CENTRAL REGION,19
6455,4291,evening,3.5,12,67399,67109,1.3938501,1.3910289,103.89167,103.89999,kml_27,SENGKANG,NORTH-EAST REGION,6455,kml_27,SENGKANG,NORTH-EAST REGION,4291
