Planning Area,Subzone,Total
Ang Mo Kio,Total,"174,770 "
Ang Mo Kio,Ang Mo Kio Town Centre,"5,020 "
Ang Mo Kio,Cheng San,"29,770 "
Ang Mo Kio,Chong Boon,"27,900 "
Ang Mo Kio,Kebun Bahru,"23,910 "
Ang Mo Kio,Sembawang Hills,"6,890 "
Ang Mo Kio,Shangri-La,"18,510 "
Ang Mo Kio,Tagore,"8,350 "
Ang Mo Kio,Townsville,"23,770 "
Ang Mo Kio,Yio Chu Kang,30 
Ang Mo Kio,Yio Chu Kang East,"4,080 "
Ang Mo Kio,Yio Chu Kang North,-
Ang Mo Kio,Yio Chu Kang West,"26,550 "
Bedok,Total,"289,750 "
Bedok,Bayshore,"7,480 "
Bedok,Bedok North,"85,930 "
Bedok,Bedok Reservoir,"25,400 "
Bedok,Bedok South,"51,190 "
Bedok,Frankel,"33,570 "
Bedok,Kaki Bukit,"40,820 "
Bedok,Kembangan,"38,440 "
Bedok,Siglap,"6,930 "
Bishan,Total,"90,700 "
Bishan,Bishan East,"28,820 "
Bishan,Marymount,"31,540 "
Bishan,Upper Thomson,"30,340 "
Boon Lay,Total,30
Boon Lay,Liu Fang,10
Boon Lay,Samulun,10
Boon Lay,Shipyard,-
Boon Lay,Tukang,10
Bukit Batok,Total,"139,270"
Bukit Batok,Brickworks,-
Bukit Batok,Bukit Batok Central,"26,060"
Bukit Batok,Bukit Batok East,"14,570"
Bukit Batok,Bukit Batok South,"13,940"
Bukit Batok,Bukit Batok West,"15,190"
Bukit Batok,Gombak,"9,820"
Bukit Batok,Guilin,"13,130"
Bukit Batok,Hillview,"18,220"
Bukit Batok,Hong Kah North,"28,340"
Bukit Merah,Total,"155,840"
Bukit Merah,Alexandra Hill,"15,650"
Bukit Merah,Alexandra North,"1,000"
Bukit Merah,Bukit Ho Swee,"16,290"
Bukit Merah,Bukit Merah,"1,190"
Bukit Merah,City Terminals,40
Bukit Merah,Depot Road,"5,200"
Bukit Merah,Everton Park,"9,010"
Bukit Merah,Henderson Hill,"12,870"
Bukit Merah,Kampong Tiong Bahru,"10,460"
Bukit Merah,Maritime Square,"2,560"
Bukit Merah,Redhill,"12,210"
Bukit Merah,Singapore General Hospital,10
Bukit Merah,Telok Blangah Drive,"16,000"
Bukit Merah,Telok Blangah Rise,"13,820"
Bukit Merah,Telok Blangah Way,"10,690"
Bukit Merah,Tiong Bahru,"12,190"
Bukit Merah,Tiong Bahru Station,"16,670"
Bukit Panjang,Total,"139,030 "
Bukit Panjang,Bangkit,"23,800 "
Bukit Panjang,Dairy Farm,"5,390 "
Bukit Panjang,Fajar,"26,770 "
Bukit Panjang,Jelebu,"33,470 "
Bukit Panjang,Nature Reserve,"3,870 "
Bukit Panjang,Saujana,"25,530 "
Bukit Panjang,Senja,"20,200 "
Bukit Timah,Total,"74,470 "
Bukit Timah,Anak Bukit,"21,990 "
Bukit Timah,Coronation Road,"6,170 "
Bukit Timah,Farrer Court,"4,680 "
Bukit Timah,Hillcrest,"8,810 "
Bukit Timah,Holland Road,"10,280 "
